Title,Category,Year,Violence
Mah Jongg Solitaire,Traditional,1987,False
Major Stryker,Shooter,1993,False
Maniac Mansion,Adventure,1987,False
Maniac Mansion: Day of the Tentacle,Adventure,1993,False
Mario,Platform,1994,False
Mario Brothers VGA,Platform,1990,False
Mario Teaches Typing,Educational,1992,False
Master of Magic,Turn-Based Strategy,1994,False
Master of Orion,Turn-Based Strategy,1993,False
Master of Orion II: Battle at Antares,Turn-Based Strategy,1996,False
Math Rescue,Educational,1992,False
MDK,Shooter,1997,True
Mean Mini Golf,Sport,1992,False
MechWar,Turn-Based Strategy,1992,False
MechWarrior 2: 31st Century Combat,Simulation,1995,False
MechWarrior 2: Mercenaries,Simulation,1996,False
MechWarrior 2: The Clans,Simulation,1993,False
Mega Man X,Platform,1995,False
MegaRace,Racing,1993,False
Megatron VGA,First-Person Shooter,1992,False
Mel Odius Goes Six String Searchin',Adventure,1992,False
Meltdown,First-Person Shooter,1995,True
Metaltech: Battledrome,Simulation,1994,False
Metaltech: EarthSiege,Simulation,1994,False
Mickey's Space Adventure,Adventure,1986,False
Micro Machines,Racing,1994,False
Micro Machines 2: Turbo Tournament,Racing,1995,False
Microsoft Flight Simulator 5.1,Simulation,1995,False
MiG-29 Fulcrum,Simulation,1990,False
MiG-29M Super Fulcrum,Simulation,1991,False
Might and Magic III: Isles of Terra,Role-Playing,1991,False
Mission Cobra 98,Shooter,1998,False
Mission Mopreme,Shooter,1997,False
Monchr,Miscellaneous,1980,False
Monopoly,Traditional,1999,False
Monster Bash,Platform,1993,False
Monuments of Mars,Platform,1991,False
Moraff's Entrap,Miscellaneous,1990,False
MoreCraft,Real-Time Strategy,1996,True
Mortal Kombat 3,Fighting,1995,True
Mortal Kombat II,Fighting,1994,True
Mr. Boom 3.0,Arcade,1999,False
Ms Pac PC,Arcade,1995,False
Mystic Towers,Adventure,1994,False
NASCAR Racing,Racing,1994,False
NASCAR Racing 2,Racing,1996,False
Nebula Fighter,Shooter,1997,False
The Need For Speed,Racing,1995,False
NetHack,Role-Playing,1987,False
NetHack Plus,Role-Playing,1994,False
Network Q RAC Rally Championship,Racing,1996,False
NHL 96,Sport,1995,False
NHL Hockey,Sport,1993,False
Nibbles,Arcade,1990,False
Night Raid,Arcade,1992,False
Nihilist,First-Person Shooter,1996,False
Nitemare-3D,First-Person Shooter,1994,True
Norse by Norsewest - The Return of the Lost Vikings,Platform,1997,False
One Must Fall 2097,Fighting,1994,True
Operation Spacehog,Shooter,1998,False
Operation: Body Count,First-Person Shooter,1994,True
Operation: Carnage,Shooter,1996,True
Out of This World,Platform,1991,True
Outer Ridge,First-Person Shooter,1995,False
OverKill,Shooter,1992,False
Pac Pc II,Arcade,1997,False
The Pack Rat,Platform,1992,False
Paganitzu,Puzzle,1991,False
Panzer General,Turn-Based Strategy,1994,False
Paratrooper,Arcade,1982,False
PaybackTime 2,Turn-Based Strategy,1997,True
PC*Bert,Arcade,1997,False
Peach's Dream,Platform,1999,False
Pekka Kana,Platform,1998,False
Perdition's Gate,First-Person Shooter,1996,True
Pharaoh's Tomb,Platform,1991,False
Pickle Wars,Platform,1993,False
Pinball Fantasies,Sport,1994,False
"Pirada 1, 2 and 3",Puzzle,1992,False
Pirates! Gold,Adventure,1993,True
Pizza Worm,Arcade,1994,False
Plague!!!,Educational,1993,False
Polanie,Real-Time Strategy,1996,True
Police Quest III: The Kindred,Adventure,1991,False
PowBall,Arcade,1997,False
Power F1,Racing,1997,False
Powerslave,First-Person Shooter,1996,True
Pray for Death,Fighting,1996,True
Prehistorik 2,Platform,1993,False
